,city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa (R$),rent amount (R$),property tax (R$),fire insurance (R$),total (R$)
0,São Paulo,70.0,2.0,1.0,1.0,7,acept,furnished,2065.0,3300.0,211.0,42.0,5618.0
1,São Paulo,320.0,4.0,,0.0,20,acept,not furnished,1200.0,4960.0,1750.0,63.0,7973.0
2,Porto Alegre,80.0,1.0,1.0,1.0,6,,not furnished,1000.0,2800.0,,41.0,3841.0
3,,51.0,2.0,1.0,0.0,2,acept,not furnished,270.0,1112.0,22.0,17.0,1421.0
4,São Paulo,25.0,,1.0,,1,not acept,not furnished,0.0,800.0,25.0,11.0,836.0
5,São Paulo,376.0,3.0,3.0,7.0,-,,not furnished,0.0,8000.0,834.0,121.0,8955.0
6,Rio de Janeiro,72.0,2.0,1.0,0.0,7,acept,not furnished,740.0,1900.0,85.0,25.0,2750.0
7,São Paulo,213.0,4.0,,4.0,4,acept,not furnished,2254.0,,1735.0,41.0,7253.0
8,São Paulo,152.0,2.0,2.0,1.0,3,acept,furnished,,15000.0,250.0,191.0,16440.0
9,Rio de Janeiro,35.0,1.0,1.0,0.0,,acept,furnished,590.0,2300.0,35.0,30.0,2955.0
10,São Paulo,,1.0,1.0,0.0,2,acept,furnished,470.0,2100.0,150.0,27.0,2747.0
11,Campinas,46.0,1.0,1.0,,10,acept,not furnished,550.0,580.0,43.0,8.0,
12,São Paulo,36.0,1.0,1.0,0.0,11,acept,not furnished,359.0,,70.0,27.0,2556.0
13,São Paulo,55.0,1.0,1.0,1.0,2,acept,furnished,790.0,4200.0,224.0,54.0,5268.0
14,São Paulo,100.0,2.0,2.0,2.0,24,acept,furnished,900.0,4370.0,17.0,56.0,5343.0
15,Campinas,,4.0,6.0,6.0,-,acept,furnished,680.0,8000.0,328.0,121.0,9129.0
16,São Paulo,110.0,2.0,2.0,1.0,1,acept,,700.0,3000.0,122.0,39.0,3861.0
17,Rio de Janeiro,88.0,2.0,3.0,1.0,9,not acept,furnished,1614.0,,221.0,16.0,5351.0
18,Rio de Janeiro,56.0,2.0,1.0,0.0,8,acept,not furnished,800.0,1220.0,0.0,16.0,2036.0
19,São Paulo,600.0,,5.0,,-,,not furnished,0.0,12000.0,9500.0,181.0,21680.0
20,São Paulo,100.0,7.0,4.0,0.0,-,acept,not furnished,0.0,3800.0,,58.0,3976.0
21,Belo Horizonte,42.0,1.0,1.0,1.0,17,not acept,furnished,470.0,2690.0,172.0,36.0,3368.0
22,São Paulo,160.0,3.0,,2.0,18,acept,furnished,1530.0,1900.0,167.0,25.0,
23,São Paulo,35.0,1.0,1.0,0.0,-,acept,not furnished,0.0,1100.0,3.0,14.0,1117.0
24,,90.0,3.0,2.0,1.0,7,acept,not furnished,800.0,1800.0,118.0,24.0,2742.0
25,São Paulo,49.0,1.0,1.0,1.0,10,acept,not furnished,480.0,3500.0,42.0,45.0,4067.0
